,,,,,
,Date,Axis Month,Axis Day,Temperature,Shade Month
,1/1/2020,,,29.8,
,1/2/2020,,,29.7,
,1/3/2020,,,29.6,
,1/4/2020,,,29.8,
,1/5/2020,,,30.3,
,1/6/2020,,,29.4,
,1/7/2020,,,30.2,
,1/8/2020,,,30.5,
,1/9/2020,,,30.1,
,1/10/2020,,,30.6,
,1/11/2020,,,30.5,
,1/12/2020,,,27.1,
,1/13/2020,,,26.9,
,1/14/2020,,,28.3,
,1/15/2020,,,29.1,
,1/16/2020,,,28.8,
,1/17/2020,,,29.5,
,1/18/2020,,,27.8,
,1/19/2020,,,30.1,
,1/20/2020,,,30.9,
,1/21/2020,,,31.6,
,1/22/2020,,,30,
,1/23/2020,,,29,
,1/24/2020,,,30.3,
,1/25/2020,,,30.3,
,1/26/2020,,,30.3,
,1/27/2020,,,29.2,
,1/28/2020,,,30.2,
,1/29/2020,,,30.8,
,1/30/2020,,,29.8,
,1/31/2020,,,30,
,2/1/2020,,,30.4,
,2/2/2020,,,30.7,
,2/3/2020,,,36.3,
,2/4/2020,,,27.9,
,2/5/2020,,,25.8,
,2/6/2020,,,26.5,
,2/7/2020,,,28.1,
,2/8/2020,,,28.8,
,2/9/2020,,,28.7,
,2/10/2020,,,28.7,
,2/11/2020,,,28.8,
,2/12/2020,,,28.4,
,2/13/2020,,,27.5,
,2/14/2020,,,28.4,
,2/15/2020,,,30.3,
,2/16/2020,,,30.5,
,2/17/2020,,,30.3,
,2/18/2020,,,30.3,
,2/19/2020,,,32.6,
,2/20/2020,,,31.4,
,2/21/2020,,,30.4,
,2/22/2020,,,28.7,
,2/23/2020,,,28.6,
,2/24/2020,,,26.4,
,2/25/2020,,,25.3,
,2/26/2020,,,28.9,
,2/27/2020,,,29.1,
,2/28/2020,,,29.3,
,2/29/2020,,,28.6,
,3/1/2020,,,29.1,
,3/2/2020,,,30,
,3/3/2020,,,29.8,
,3/5/2020,,,30.3,
,3/6/2020,,,29.7,
,3/7/2020,,,29.1,
,3/8/2020,,,26,
,3/9/2020,,,24.4,
,3/10/2020,,,26.7,
,3/11/2020,,,26.6,
,3/12/2020,,,26.1,
,3/13/2020,,,26.4,
,3/14/2020,,,24.5,
,3/15/2020,,,26.7,
,3/16/2020,,,26.4,
,3/17/2020,,,26.1,
,3/18/2020,,,25.7,
,3/19/2020,,,26.4,
,3/20/2020,,,27.1,
,3/21/2020,,,29.1,
,3/22/2020,,,28.3,
,3/23/2020,,,28.3,
,3/24/2020,,,25.3,
,3/25/2020,,,26.4,
,3/26/2020,,,26.9,
,3/27/2020,,,26.6,
,3/28/2020,,,26.4,
,3/29/2020,,,26.5,
,3/30/2020,,,27.3,
,3/31/2020,,,28.9,
,4/1/2020,,,28,
,4/2/2020,,,27.8,
,4/3/2020,,,28,
,4/4/2020,,,30.7,
,4/5/2020,,,28.6,
,4/6/2020,,,26.9,
,4/8/2020,,,24.7,
,4/9/2020,,,25.9,
,4/10/2020,,,24.8,
,4/11/2020,,,30.7,
,4/12/2020,,,27.4,
,4/13/2020,,,26.1,
,4/14/2020,,,26.5,
,4/15/2020,,,26.3,
,4/16/2020,,,26.5,
,4/17/2020,,,32,
,4/18/2020,,,30.4,
,4/19/2020,,,23.4,
,4/20/2020,,,26.2,
,4/21/2020,,,26,
,4/22/2020,,,27.9,
,4/23/2020,,,26.9,
,4/24/2020,,,26.9,
,4/25/2020,,,26.9,
,4/26/2020,,,26.3,
,4/27/2020,,,26,
,4/28/2020,,,27,
,4/29/2020,,,26.1,
,4/30/2020,,,27.9,
,5/1/2020,,,23.7,
,5/2/2020,,,23.5,
,5/3/2020,,,24.8,
,5/4/2020,,,23,
,5/5/2020,,,23.2,
,5/6/2020,,,24.1,
,5/7/2020,,,24.2,
,5/8/2020,,,24.3,
,5/9/2020,,,25.4,
,5/10/2020,,,25.5,
,5/11/2020,,,22.9,
,5/12/2020,,,23,
,5/13/2020,,,23.2,
,5/14/2020,,,23.9,
,5/15/2020,,,22.9,
,5/16/2020,,,23.8,
,5/17/2020,,,22.8,
,5/18/2020,,,23.8,
,5/19/2020,,,23.8,
,5/20/2020,,,22.5,
,5/21/2020,,,21.7,
,5/22/2020,,,17.9,
,5/23/2020,,,14.7,
,5/24/2020,,,19.8,
,5/25/2020,,,22.6,
,5/26/2020,,,22.8,
,5/27/2020,,,22.2,
,5/28/2020,,,22.9,
,5/29/2020,,,23.7,
,5/30/2020,,,23.4,
,5/31/2020,,,22.6,
,6/1/2020,,,23.6,
,6/2/2020,,,20.8,
,6/3/2020,,,21,
,6/4/2020,,,20.9,
,6/5/2020,,,21.2,
,6/6/2020,,,22.1,
,6/7/2020,,,21.9,
,6/8/2020,,,22.7,
,6/9/2020,,,22.2,
,6/10/2020,,,21.9,
,6/11/2020,,,23.1,
,6/12/2020,,,22.8,
,6/13/2020,,,23.1,
,6/14/2020,,,25.2,
,6/15/2020,,,23,
