year,category,name,link
1901,physics,Wilhelm Röntgen,/wiki/Wilhelm_R%C3%B6ntgen
1901,chemistry,Jacobus Henricus van 't Hoff,/wiki/Jacobus_Henricus_van_%27t_Hoff
1901,medicine,Emil Adolf von Behring,/wiki/Emil_Adolf_von_Behring
1901,literature,Sully Prudhomme,/wiki/Sully_Prudhomme
1901,peace,Henry Dunant,/wiki/Henry_Dunant
1901,peace,Frédéric Passy,/wiki/Fr%C3%A9d%C3%A9ric_Passy
1902,physics,Hendrik Lorentz,/wiki/Hendrik_Lorentz
1902,physics,Pieter Zeeman,/wiki/Pieter_Zeeman
1902,chemistry,Hermann Emil Fischer,/wiki/Hermann_Emil_Fischer
1902,medicine,Ronald Ross,/wiki/Ronald_Ross
1902,literature,Theodor Mommsen,/wiki/Theodor_Mommsen
1902,peace,Élie Ducommun,/wiki/%C3%89lie_Ducommun
1902,peace,Charles Albert Gobat,/wiki/Charles_Albert_Gobat
1903,physics,Henri Becquerel,/wiki/Henri_Becquerel
1903,physics,Pierre Curie,/wiki/Pierre_Curie
1903,physics,Marie Curie,/wiki/Marie_Curie
1903,chemistry,Svante Arrhenius,/wiki/Svante_Arrhenius
1903,medicine,Niels Ryberg Finsen,/wiki/Niels_Ryberg_Finsen
1903,literature,Bjørnstjerne Bjørnson,/wiki/Bj%C3%B8rnstjerne_Bj%C3%B8rnson
1903,peace,Randal Cremer,/wiki/Randal_Cremer
1904,physics,Lord Rayleigh,"/wiki/John_Strutt,_3rd_Baron_Rayleigh"
1904,chemistry,William Ramsay,/wiki/William_Ramsay
1904,medicine,Ivan Pavlov,/wiki/Ivan_Pavlov
1904,literature,Frédéric Mistral,/wiki/Fr%C3%A9d%C3%A9ric_Mistral
1904,literature,José Echegaray,/wiki/Jos%C3%A9_Echegaray
1904,peace,Institut de Droit International,/wiki/Institut_de_Droit_International
1905,physics,Philipp Lenard,/wiki/Philipp_Lenard
1905,chemistry,Adolf von Baeyer,/wiki/Adolf_von_Baeyer
1905,medicine,Robert Koch,/wiki/Robert_Koch
1905,literature,Henryk Sienkiewicz,/wiki/Henryk_Sienkiewicz
1905,peace,Bertha von Suttner,/wiki/Bertha_von_Suttner
1906,physics,J. J. Thomson,/wiki/J._J._Thomson
1906,chemistry,Henri Moissan,/wiki/Henri_Moissan
1906,medicine,Camillo Golgi,/wiki/Camillo_Golgi
1906,medicine,Santiago Ramón y Cajal,/wiki/Santiago_Ram%C3%B3n_y_Cajal
1906,literature,Giosuè Carducci,/wiki/Giosu%C3%A8_Carducci
1906,peace,Theodore Roosevelt,/wiki/Theodore_Roosevelt
1907,physics,Albert Abraham Michelson,/wiki/Albert_Abraham_Michelson
1907,chemistry,Eduard Buchner,/wiki/Eduard_Buchner
1907,medicine,Charles Louis Alphonse Laveran,/wiki/Charles_Louis_Alphonse_Laveran
1907,literature,Rudyard Kipling,/wiki/Rudyard_Kipling
1907,peace,Ernesto Teodoro Moneta,/wiki/Ernesto_Teodoro_Moneta
1907,peace,Louis Renault,/wiki/Louis_Renault_(jurist)
1908,physics,Gabriel Lippmann,/wiki/Gabriel_Lippmann
1908,chemistry,Ernest Rutherford,/wiki/Ernest_Rutherford
1908,medicine,Élie Metchnikoff,/wiki/%C3%89lie_Metchnikoff
1908,medicine,Paul Ehrlich,/wiki/Paul_Ehrlich
1908,literature,Rudolf Christoph Eucken,/wiki/Rudolf_Christoph_Eucken
1908,peace,Klas Pontus Arnoldson,/wiki/Klas_Pontus_Arnoldson
1908,peace,Fredrik Bajer,/wiki/Fredrik_Bajer
1909,physics,Karl Ferdinand Braun,/wiki/Karl_Ferdinand_Braun
1909,physics,Guglielmo Marconi,/wiki/Guglielmo_Marconi
1909,chemistry,Wilhelm Ostwald,/wiki/Wilhelm_Ostwald
1909,medicine,Emil Theodor Kocher,/wiki/Emil_Theodor_Kocher
1909,literature,Selma Lagerlöf,/wiki/Selma_Lagerl%C3%B6f
1909,peace,Auguste Marie François Beernaert,/wiki/Auguste_Marie_Fran%C3%A7ois_Beernaert
1909,peace,Paul-Henri-Benjamin d'Estournelles de Constant,/wiki/Paul-Henri-Benjamin_d%27Estournelles_de_Constant
1910,physics,Johannes Diderik van der Waals,/wiki/Johannes_Diderik_van_der_Waals
1910,chemistry,Otto Wallach,/wiki/Otto_Wallach
1910,medicine,Albrecht Kossel,/wiki/Albrecht_Kossel
1910,literature,Paul Heyse,/wiki/Paul_Heyse
1910,peace,International Peace Bureau,/wiki/International_Peace_Bureau
1911,physics,Wilhelm Wien,/wiki/Wilhelm_Wien
1911,chemistry,Marie Skłodowska-Curie,/wiki/Marie_Sk%C5%82odowska-Curie
1911,medicine,Allvar Gullstrand,/wiki/Allvar_Gullstrand
1911,literature,Maurice Maeterlinck,/wiki/Maurice_Maeterlinck
1911,peace,Tobias Asser,/wiki/Tobias_Asser
1911,peace,Alfred Hermann Fried,/wiki/Alfred_Hermann_Fried
1912,physics,Gustaf Dalén,/wiki/Gustaf_Dal%C3%A9n
1912,chemistry,Victor Grignard,/wiki/Victor_Grignard
1912,chemistry,Paul Sabatier,/wiki/Paul_Sabatier_(chemist)
1912,medicine,Alexis Carrel,/wiki/Alexis_Carrel
1912,literature,Gerhart Hauptmann,/wiki/Gerhart_Hauptmann
1912,peace,Elihu Root,/wiki/Elihu_Root
1913,physics,Heike Kamerlingh Onnes,/wiki/Heike_Kamerlingh_Onnes
1913,chemistry,Alfred Werner,/wiki/Alfred_Werner
1913,medicine,Charles Richet,/wiki/Charles_Richet
1913,literature,Rabindranath Tagore,/wiki/Rabindranath_Tagore
1913,peace,Henri La Fontaine,/wiki/Henri_La_Fontaine
1914,physics,Max von Laue,/wiki/Max_von_Laue
1914,chemistry,Theodore William Richards,/wiki/Theodore_William_Richards
1914,medicine,Robert Bárány,/wiki/Robert_B%C3%A1r%C3%A1ny
1915,physics,William Henry Bragg,/wiki/William_Henry_Bragg
1915,physics,William Lawrence Bragg,/wiki/William_Lawrence_Bragg
1915,chemistry,Richard Willstätter,/wiki/Richard_Willst%C3%A4tter
1915,literature,Romain Rolland,/wiki/Romain_Rolland
1916,literature,Verner von Heidenstam,/wiki/Verner_von_Heidenstam
1917,physics,Charles Glover Barkla,/wiki/Charles_Glover_Barkla
1917,literature,Karl Adolph Gjellerup,/wiki/Karl_Adolph_Gjellerup
1917,literature,Henrik Pontoppidan,/wiki/Henrik_Pontoppidan
1917,peace,International Committee of the Red Cross,/wiki/International_Committee_of_the_Red_Cross
1918,physics,Max Planck,/wiki/Max_Planck
1918,chemistry,Fritz Haber,/wiki/Fritz_Haber
1919,physics,Johannes Stark,/wiki/Johannes_Stark
1919,medicine,Jules Bordet,/wiki/Jules_Bordet
1919,literature,Carl Spitteler,/wiki/Carl_Spitteler
1919,peace,Woodrow Wilson,/wiki/Woodrow_Wilson
1920,physics,Charles Édouard Guillaume,/wiki/Charles_%C3%89douard_Guillaume
1920,chemistry,Walther Nernst,/wiki/Walther_Nernst
1920,medicine,August Krogh,/wiki/August_Krogh
1920,literature,Knut Hamsun,/wiki/Knut_Hamsun
1920,peace,Léon Bourgeois,/wiki/L%C3%A9on_Bourgeois
1921,physics,Albert Einstein,/wiki/Albert_Einstein
1921,chemistry,Frederick Soddy,/wiki/Frederick_Soddy
1921,literature,Anatole France,/wiki/Anatole_France
1921,peace,Hjalmar Branting,/wiki/Hjalmar_Branting
1921,peace,Christian Lous Lange,/wiki/Christian_Lous_Lange
1922,physics,Niels Bohr,/wiki/Niels_Bohr
1922,chemistry,Francis William Aston,/wiki/Francis_William_Aston
1922,medicine,Archibald Hill,/wiki/Archibald_Hill
1922,medicine,Otto Fritz Meyerhof,/wiki/Otto_Fritz_Meyerhof
1922,literature,Jacinto Benavente,/wiki/Jacinto_Benavente
1922,peace,Fridtjof Nansen,/wiki/Fridtjof_Nansen
1923,physics,Robert Andrews Millikan,/wiki/Robert_Andrews_Millikan
1923,chemistry,Fritz Pregl,/wiki/Fritz_Pregl
1923,medicine,Frederick Banting,/wiki/Frederick_Banting
1923,medicine,John James Rickard Macleod,/wiki/John_James_Rickard_Macleod
1923,literature,W. B. Yeats,/wiki/W._B._Yeats
1924,physics,Manne Siegbahn,/wiki/Manne_Siegbahn
1924,medicine,Willem Einthoven,/wiki/Willem_Einthoven
1924,literature,Władysław Reymont,/wiki/W%C5%82adys%C5%82aw_Reymont
1925,physics,James Franck,/wiki/James_Franck
1925,physics,Gustav Ludwig Hertz,/wiki/Gustav_Ludwig_Hertz
1925,chemistry,Richard Adolf Zsigmondy,/wiki/Richard_Adolf_Zsigmondy
1925,literature,George Bernard Shaw,/wiki/George_Bernard_Shaw
1925,peace,Austen Chamberlain,/wiki/Austen_Chamberlain
1925,peace,Charles G. Dawes,/wiki/Charles_G._Dawes
1926,physics,Jean Baptiste Perrin,/wiki/Jean_Baptiste_Perrin
1926,chemistry,Theodor Svedberg,/wiki/Theodor_Svedberg
1926,medicine,Johannes Fibiger,/wiki/Johannes_Fibiger
1926,literature,Grazia Deledda,/wiki/Grazia_Deledda
1926,peace,Aristide Briand,/wiki/Aristide_Briand
1926,peace,Gustav Stresemann,/wiki/Gustav_Stresemann
1927,physics,Arthur Compton,/wiki/Arthur_Compton
1927,physics,Charles Thomson Rees Wilson,/wiki/Charles_Thomson_Rees_Wilson
1927,chemistry,Heinrich Otto Wieland,/wiki/Heinrich_Otto_Wieland
1927,medicine,Julius Wagner-Jauregg,/wiki/Julius_Wagner-Jauregg
1927,literature,Henri Bergson,/wiki/Henri_Bergson
1927,peace,Ferdinand Buisson,/wiki/Ferdinand_Buisson
1927,peace,Ludwig Quidde,/wiki/Ludwig_Quidde
1928,physics,Owen Willans Richardson,/wiki/Owen_Willans_Richardson
1928,chemistry,Adolf Otto Reinhold Windaus,/wiki/Adolf_Otto_Reinhold_Windaus
1928,medicine,Charles Nicolle,/wiki/Charles_Nicolle
1928,literature,Sigrid Undset,/wiki/Sigrid_Undset
1929,physics,Louis de Broglie,/wiki/Louis_de_Broglie
1929,chemistry,Arthur Harden,/wiki/Arthur_Harden
1929,chemistry,Hans von Euler-Chelpin,/wiki/Hans_von_Euler-Chelpin
1929,medicine,Christiaan Eijkman,/wiki/Christiaan_Eijkman
1929,medicine,Frederick Gowland Hopkins,/wiki/Frederick_Gowland_Hopkins
1929,literature,Thomas Mann,/wiki/Thomas_Mann
1929,peace,Frank B. Kellogg,/wiki/Frank_B._Kellogg
1930,physics,C. V. Raman,/wiki/C._V._Raman
1930,chemistry,Hans Fischer,/wiki/Hans_Fischer
1930,medicine,Karl Landsteiner,/wiki/Karl_Landsteiner
1930,literature,Sinclair Lewis,/wiki/Sinclair_Lewis
1930,peace,Nathan Söderblom,/wiki/Nathan_S%C3%B6derblom
1931,chemistry,Carl Bosch,/wiki/Carl_Bosch
1931,chemistry,Friedrich Bergius,/wiki/Friedrich_Bergius
1931,medicine,Otto Heinrich Warburg,/wiki/Otto_Heinrich_Warburg
1931,literature,Erik Axel Karlfeldt,/wiki/Erik_Axel_Karlfeldt
1931,peace,Jane Addams,/wiki/Jane_Addams
1931,peace,Nicholas Murray Butler,/wiki/Nicholas_Murray_Butler
1932,physics,Werner Heisenberg,/wiki/Werner_Heisenberg
1932,chemistry,Irving Langmuir,/wiki/Irving_Langmuir
1932,medicine,Charles Scott Sherrington,/wiki/Charles_Scott_Sherrington
1932,medicine,Edgar Adrian,"/wiki/Edgar_Adrian,_1st_Baron_Adrian"
1932,literature,John Galsworthy,/wiki/John_Galsworthy
1933,physics,Erwin Schrödinger,/wiki/Erwin_Schr%C3%B6dinger
1933,physics,Paul Dirac,/wiki/Paul_Dirac
1933,medicine,Thomas Hunt Morgan,/wiki/Thomas_Hunt_Morgan
1933,literature,Ivan Bunin,/wiki/Ivan_Bunin
1933,peace,Norman Angell,/wiki/Norman_Angell
1934,chemistry,Harold Urey,/wiki/Harold_Urey
1934,medicine,George Whipple,/wiki/George_Whipple
1934,medicine,George Minot,/wiki/George_Minot
1934,medicine,William P. Murphy,/wiki/William_P._Murphy
1934,literature,Luigi Pirandello,/wiki/Luigi_Pirandello
1934,peace,Arthur Henderson,/wiki/Arthur_Henderson
1935,physics,James Chadwick,/wiki/James_Chadwick
1935,chemistry,Frédéric Joliot-Curie,/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie
1935,chemistry,Irène Joliot-Curie,/wiki/Ir%C3%A8ne_Joliot-Curie
1935,medicine,Hans Spemann,/wiki/Hans_Spemann
1935,peace,Carl von Ossietzky,/wiki/Carl_von_Ossietzky
1936,physics,Victor Francis Hess,/wiki/Victor_Francis_Hess
1936,physics,Carl David Anderson,/wiki/Carl_David_Anderson
1936,chemistry,Peter Debye,/wiki/Peter_Debye
1936,medicine,Henry Hallett Dale,/wiki/Henry_Hallett_Dale
1936,medicine,Otto Loewi,/wiki/Otto_Loewi
1936,literature,Eugene O'Neill,/wiki/Eugene_O%27Neill
1936,peace,Carlos Saavedra Lamas,/wiki/Carlos_Saavedra_Lamas
1937,physics,Clinton Davisson,/wiki/Clinton_Davisson
1937,physics,George Paget Thomson,/wiki/George_Paget_Thomson
1937,chemistry,Norman Haworth,/wiki/Norman_Haworth
1937,chemistry,Paul Karrer,/wiki/Paul_Karrer
1937,medicine,Albert Szent-Györgyi,/wiki/Albert_Szent-Gy%C3%B6rgyi
1937,literature,Roger Martin du Gard,/wiki/Roger_Martin_du_Gard
1937,peace,The Viscount Cecil of Chelwood,"/wiki/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood"
1938,physics,Enrico Fermi,/wiki/Enrico_Fermi
1938,chemistry,Richard Kuhn,/wiki/Richard_Kuhn
1938,chemistry,[a],#cite_note-A-14
1938,medicine,Corneille Heymans,/wiki/Corneille_Heymans
1938,literature,Pearl S. Buck,/wiki/Pearl_S._Buck
1938,peace,Nansen International Office For Refugees,/wiki/Office_international_Nansen_pour_les_r%C3%A9fugi%C3%A9s
1939,physics,Ernest Lawrence,/wiki/Ernest_Lawrence
1939,chemistry,Adolf Butenandt,/wiki/Adolf_Butenandt
1939,chemistry,[a],#cite_note-A-14
1939,chemistry,Leopold Ružička,/wiki/Leopold_Ru%C5%BEi%C4%8Dka
1939,medicine,Gerhard Domagk,/wiki/Gerhard_Domagk
1939,medicine,[a],#cite_note-A-14
1939,literature,Frans Eemil Sillanpää,/wiki/Frans_Eemil_Sillanp%C3%A4%C3%A4
1943,physics,Otto Stern,/wiki/Otto_Stern
1943,chemistry,George de Hevesy,/wiki/George_de_Hevesy
1943,medicine,Henrik Dam,/wiki/Henrik_Dam
